appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
329935468;"CA";"2722239";"A ";2009-04-21;2009;"CA20092722239";"2722239";"PI";"  ";266971176;"Y";"N";"Y";2008-04-24;2008;67829;2009-11-19;2009;329946060;"N";40120085;67829;13;13;1;2
443000086;"BR";"PI0907353";"A ";2009-04-21;2009;"BR2009PI07353";"PI0907353-1";"PI";"  ";266971176;"Y";"N";"Y";2008-04-24;2008;67829;2015-07-28;2015;443000087;"N";40120085;67829;13;13;1;2
459204894;"MY";"PI20104983";"A ";2009-04-21;2009;"MYPI20104983";"PI 2010004983";"PI";"  ";0;"N";"N";"Y";2008-04-24;2008;67829;2016-06-15;2016;459204895;"Y";40120085;67829;13;13;1;2
20939102;"WO";"2007001339";"W ";2007-08-02;2007;"WO2007FR01339";"FR2007/001339";"PI";"FR";0;"Y";"N";"N";2006-08-21;2006;19110797;2008-02-28;2008;278806186;"N";37663186;19110797;12;15;3;2
413979608;"WO";"2013052941";"W ";2013-12-04;2013;"WO2013FR52941";"FR2013/052941";"PI";"FR";0;"Y";"N";"N";2012-12-07;2012;381150530;2014-06-12;2014;418885618;"N";49886962;381150530;16;2;1;2
4989976;"CA";"2602186";"A ";2006-03-21;2006;"CA20062602186";"2602186";"PI";"  ";20934670;"Y";"N";"Y";2005-03-22;2005;19089769;2006-09-28;2006;378192385;"Y";35266731;2744929;13;23;1;2
19110797;"FR";"0607420";"A ";2006-08-21;2006;"FR20060007420";"0607420";"PI";"  ";0;"N";"N";"Y";2006-08-21;2006;19110797;2008-02-22;2008;278806185;"Y";37663186;19110797;12;15;1;2
333001142;"MX";"2010011655";"A ";2009-04-21;2009;"MX20100011655";"2010011655";"PI";"  ";266971176;"Y";"N";"Y";2008-04-24;2008;67829;2010-12-20;2010;333007011;"Y";40120085;67829;13;13;1;2
333161596;"KR";"20107026220";"A ";2009-04-21;2009;"KR20107026220";"1020107026220";"PI";"  ";0;"N";"N";"Y";2008-04-24;2008;67829;2011-02-16;2011;333269989;"Y";40120085;67829;13;13;1;2
341088988;"US";"51875907";"A ";2007-12-12;2007;"US20070518759";"12518759";"PI";"  ";49366;"Y";"N";"Y";2006-12-14;2006;19119810;2012-01-26;2012;341117848;"N";37890311;49366;6;7;5;4
